Space Invader PA_0571;PA_0571; PA; 10 boulevard de la Bastille; 10 boulevard de la Bastille;48.8472600000; 2.3674600000
Space Invader PA_0572;PA_0572; PA; 27 rue du Roi de Sicile; 27 rue du Roi de Sicile;48.8564830000; 2.3573850000
Space Invader PA_0576;PA_0576; PA; 2 place du Carrousel; 2 place du Carrousel;48.8624410000; 2.3352720000
Space Invader PA_0580;PA_0580; PA; 59 rue de la Verrerie; 59 rue de la Verrerie;48.8579500000; 2.3528800000
Space Invader PA_0581;PA_0581; PA; entrée nord-est du Carrousel; entrée nord-est du Carrousel;48.8624650000; 2.3351640000
Space Invader PA_0586;PA_0586; PA; 89 boulevard Beaumarchais; 89 boulevard Beaumarchais;48.8591930000; 2.3674390000
Space Invader PA_0588;PA_0588; PA; 5 rue Charles V; 5 rue Charles V;48.8526337950; 2.3632380366
Space Invader PA_0591;PA_0591; PA; villa du Clos de Malvert; villa du Clos de Malvert;48.8691060000; 2.3729970000
Space Invader PA_0600;PA_0600; PA; entrée du tunnel de la porte Chaumont; entrée du tunnel de la porte Chaumont;48.8864870000; 2.3968770000
Space Invader PA_0601;PA_0601; PA; A86 à l'angle du stade Pierre de Coubertin; A86 à l'angle du stade Pierre de Coubertin;48.8598860000; 2.4853770000
Space Invader PA_0602;PA_0602; PA; cour de la Métairie; cour de la Métairie;48.8738256150; 2.3855566978
Space Invader PA_0605;PA_0605; PA; 1 place Suzanne Valadon; 1 place Suzanne Valadon;48.8843872940; 2.3424495756
Space Invader PA_0606;PA_0606; PA; 39 rue d'Aboukir; 39 rue d'Aboukir;48.8671820000; 2.3449380000
Space Invader PA_0613;PA_0613; PA; derrière un poteau à l'entrée d'un tunnel; derrière un poteau à l'entrée d'un tunnel;48.8162670000; 2.3612110000
Space Invader PA_0614;PA_0614; PA; bretelle de périphérique Porte Brancion; bretelle de périphérique Porte Brancion;48.8262540000; 2.2984920000
Space Invader PA_0616;PA_0616; PA; 31 place Saint-Ferdinand; 31 place Saint-Ferdinand;48.8777280000; 2.2883330000
Space Invader PA_0619;PA_0619; PA; 47 rue Cardinet; 47 rue Cardinet;48.8826180000; 2.3057800000
Space Invader PA_0623;PA_0623; PA; porte de la Gare côté Ivry; porte de la Gare côté Ivry;48.8272540000; 2.3859890000
Space Invader PA_0635;PA_0635; PA; 21 rue de Vaugirard; 21 rue de Vaugirard;48.8487300000; 2.3326440000
Space Invader PA_0637;PA_0637; PA; 22 place des Vosges; 22 place des Vosges;48.8559869700; 2.3666632175
Space Invader PA_0638;PA_0638; PA; 79 rue des Gravilliers; 79 rue des Gravilliers;48.8647460000; 2.3534330000
Space Invader PA_0639;PA_0639; PA; 122 rue Lepic; 122 rue Lepic;48.8866700000; 2.3384430000
Space Invader PA_0647;PA_0647; PA; 66 rue Caulaincourt; 66 rue Caulaincourt;48.8894706570; 2.3368343710
Space Invader PA_0648;PA_0648; PA; métro Pelleport; métro Pelleport;48.8682270000; 2.4014910000
Space Invader PA_0656;PA_0656; PA; 112bis rue Championnet; 112bis rue Championnet;48.8958900000; 2.3395000000
Space Invader PA_0657;PA_0657; PA; 3 avenue Jean Jaurès; 3 avenue Jean Jaurès;48.8831800000; 2.3711150000
Space Invader PA_0658;PA_0658; PA; métro Saint-Fargeau; métro Saint-Fargeau;48.8716327390; 2.4041149020
Space Invader PA_0660;PA_0660; PA; 46 rue de Lévis; 46 rue de Lévis;48.8834330000; 2.3140960000
Space Invader PA_0663;PA_0663; PA; 25 rue Guersant; 25 rue Guersant;48.8810890000; 2.2896030000
Space Invader PA_0665;PA_0665; PA; 127 rue de Lauriston; 127 rue de Lauriston;48.8655599320; 2.2855666279
Space Invader PA_0667;PA_0667; PA; 64 avenue de Choisy; 64 avenue de Choisy;48.8236020000; 2.3621100000
Space Invader PA_0669;PA_0669; PA; pont ferroviaire de la porte des Poissonniers; pont ferroviaire de la porte des Poissonniers;48.8982930000; 2.3536500000
Space Invader PA_0670;PA_0670; PA; 17 rue de l'Équerre; 17 rue de l'Équerre;48.8748630000; 2.3824390000
Space Invader PA_0672;PA_0672; PA; 1 avenue Jean Aicard; 1 avenue Jean Aicard;48.8643565740; 2.3816621303
Space Invader PA_0674;PA_0674; PA; passage Alexandre; passage Alexandre;48.8402392170; 2.3154866690
Space Invader PA_0675;PA_0675; PA; 1bis rue Friant; 1bis rue Friant;48.8271250000; 2.3253170000
Space Invader PA_0680;PA_0680; PA; 4 rue de la Mare; 4 rue de la Mare;48.8684960000; 2.3884930000
Space Invader PA_0681;PA_0681; PA; 10 rue d'Ormesson; 10 rue d'Ormesson;48.8554470000; 2.3620380000
Space Invader PA_0683;PA_0683; PA; 132 boulevard Richard Lenoir; 132 boulevard Richard Lenoir;48.8658316530; 2.3700052499
Space Invader PA_0685;PA_0685; PA; sortie 18 de l'A86; sortie 18 de l'A86;48.8582300000; 2.4881700000
Space Invader PA_0686;PA_0686; PA; 1 rue Marius Delcher; 1 rue Marius Delcher;48.8286270000; 2.3991390000
Space Invader PA_0693;PA_0693; PA; 15 rue Pierre Guérin; 15 rue Pierre Guérin;48.8489320000; 2.2664190000
Space Invader PA_0698;PA_0698; PA; 10 rue Saint-Sabin; 10 rue Saint-Sabin;48.8551180000; 2.3720800000
Space Invader PA_0699;PA_0699; PA; 127 rue des Pyrénées; 127 rue des Pyrénées;48.8573600000; 2.4039300000
Space Invader PA_0701;PA_0701; PA; 1 rue Godefroy Cavaignac; 1 rue Godefroy Cavaignac;48.8540200000; 2.3818700000
Space Invader PA_0702;PA_0702; PA; 98 rue de Charonne; 98 rue de Charonne;48.8538091970; 2.3818498849
Space Invader PA_0706;PA_0706; PA; 42 villa Auguste Blanqui; 42 villa Auguste Blanqui;48.8306420000; 2.3673990000
Space Invader PA_0708;PA_0708; PA; 11 passage Gauthier; 11 passage Gauthier;48.8756955690; 2.3814368247
Space Invader PA_0719;PA_0719; PA; 1 rue Camille Desmoulins; 1 rue Camille Desmoulins;48.8585900000; 2.3802000000
Space Invader PA_0723;PA_0723; PA; 12 rue de Parme; 12 rue de Parme;48.8813310000; 2.3275240000
Space Invader PA_0729;PA_0729; PA; cour du Havre; cour du Havre;48.8758400000; 2.3260820000
Space Invader PA_0733;PA_0733; PA; 38 rue du Moulin Joly; 38 rue du Moulin Joly;48.8705380000; 2.3777140000
Space Invader PA_0734;PA_0734; PA; 20 rue du Faubourg Montmartre; 20 rue du Faubourg Montmartre;48.8731587650; 2.3430611193
Space Invader PA_0735;PA_0735; PA; 66 rue des Rochers; 66 rue des Rochers;48.8789900000; 2.3190000000
Space Invader PA_0736;PA_0736; PA; 334 rue Saint-Honoré; 334 rue Saint-Honoré;48.8658000000; 2.3303600000
Space Invader PA_0738;PA_0738; PA; 20 rue Clavel; 20 rue Clavel;48.8758310000; 2.3836080000
Space Invader PA_0741;PA_0741; PA; 194 boulevard de la Villette; 194 boulevard de la Villette;48.8821200000; 2.3705260000
Space Invader PA_0743;PA_0743; PA; 45 rue du Faubourg du Temple; 45 rue du Faubourg du Temple;48.8694944600; 2.3689699172
Space Invader PA_0751;PA_0751; PA; 11 rue Girardot; 11 rue Girardot;48.8605050000; 2.4397180000
Space Invader PA_0753;PA_0753; PA; 120 rue d'Avron; 120 rue d'Avron;48.8529520000; 2.4079120000
Space Invader PA_0755;PA_0755; PA; 6 rue de la Victoire; 6 rue de la Victoire;48.8750670000; 2.3405060000
Space Invader PA_0756;PA_0756; PA; 4 rue Flechier; 4 rue Flechier;48.8766200000; 2.3394130000
