invader;code;artist;address;invaders.geo;lat;lon
Space Invader NY_X010;NY_X010;NY; 9th Ave, new york city;9th Ave, New York, NY 10014;40.7406191377359;-74.0056376275386
Space Invader NY_X012;NY_X012;NY; 155 Grand St, new york city;155 Grand St, New York, NY 10013;40.71989;-73.99899
Space Invader NY_X013;NY_X013;NY; 505 W 24th St, new york city;505 W 24th St, New York, NY 10011;40.74877;-74.00408
Space Invader NY_X014;NY_X014;NY; 22 Bond St, new york city;22 Bond St, New York, NY 10012;40.72661;-73.99381
Space Invader NY_X015;NY_X015;NY; 24 Watts St, new york city;24 Watts St, New York, NY 10013;40.7235563381102;-74.0041569541917
Space Invader NY_X016;NY_X016;NY; 183 Bowery, new york city;183 Bowery, New York, NY 10002;40.72048;-73.99374
Space Invader NY_X017;NY_X017;NY; 235 Bowery, new york city;235 Bowery, New York, NY 10002;40.7224;-73.993
Space Invader NY_X018;NY_X018;NY; 115 Delancey St, new york city;115 Delancey St, New York, NY 10002;40.71827;-73.98806
Space Invader NY_X019;NY_X019;NY; 1 Spring St, new york city;1 Spring St, New York, NY 10012;40.72116;-73.99413
Space Invader NY_X020;NY_X020;NY; 143 E Houston St, new york city;143 E Houston St, New York, NY 10002;40.72312;-73.98994
Space Invader NY_X021;NY_X021;NY; 66 Rivington St, new york city;66 Rivington St, New York, NY 10002;40.72066;-73.98999
Space Invader NY_X022;NY_X022;NY; Donatello, 457 W 17th St, New York, État de New York;457 W 17th St, New York, État de New York;40.744136; -74.006528
Space Invader NY_X023;NY_X023;NY; 8th Ave, new york city;8th Ave, New York, NY 10014;40.7386578581304;-74.0036298204146
Space Invader NY_X026;NY_X026;NY; E Houston St, new york city;E Houston St, New York, NY 10012;40.7250199696149;-73.9951150179573
Space Invader NY_X027;NY_X027;NY; Crosby St, new york city;Crosby St, New York, NY 10013;40.7209150007611;-73.9994600031865
Space Invader NY_X029;NY_X029;NY; 1 Howard St, new york city;1 Howard St, New York, NY 10013;40.71969333;-74.00073333
Space Invader NY_X030;NY_X030;NY; 68 Elizabeth St, New York, NY 10013, États-Unis;68 Elizabeth St, New York, NY 10013, États-Unis;40.717730; -73.996273
Space Invader PA_0002;PA_0002; PA; 45 rue Quincampoix, Paris;45 Rue Quincampoix, 75004 Paris;48.86103;2.35045
Space Invader PA_0003;PA_0003; PA; 14 rue de la Montagne Sainte-Geneviéve, Paris;14 Rue de la Montagne Sainte-Geneviéve, 75005 Paris;48.8488676;2.3484198
Space Invader PA_0004;PA_0004; PA; 22 rue Monge, Paris;22 Rue Monge, 75005 Paris;48.84717;2.35103
Space Invader PA_0005;PA_0005; PA; 25 rue Guisarde, Paris;25 Rue Guisarde, 75006 Paris;48.85179;2.33383
Space Invader PA_0006;PA_0006; PA; 40 rue de Seine, Paris;40 Rue de Seine, 75006 Paris;48.85508;2.33674
Space Invader PA_0007;PA_0007; PA; 87 quai de valmy, 75010, Paris  ; 87 quai de valmy, 75010, Paris  ; 48.873100; 2.363571
Space Invader PA_0008;PA_0008; PA;  PA_1083, Impasse Cordon-Boussard;  PA_1083, Impasse Cordon-Boussard;48.8657870000; 2.3975940000
Space Invader PA_0010;PA_0010; PA; 30 rue de Charonne; 30 rue de Charonne;48.8532600000; 2.3757400000
Space Invader PA_0013;PA_0013; PA; 47 avenue Daumesnil, Paris;47 Avenue Daumesnil, 75012 Paris;48.84739;2.37554
Space Invader PA_0014;PA_0014; PA; 59 avenue Ledru-Rollin, Paris;59 Avenue Ledru-Rollin, 75012 Paris;48.84893;2.37276
Space Invader PA_0015;PA_0015; PA; 24 rue de Citeaux, Paris;24 Rue de citeaux, 75014 Paris; 48.848145; 2.380798
Space Invader PA_0016;PA_0016; PA; 76 avenue Ledru-Rollin, Paris;76 Avenue Ledru-Rollin, 75012 Paris;48.84937;2.37419
Space Invader PA_0017;PA_0017; PA; face à la rue Voltaire; face à la rue Voltaire;48.8157510000; 2.3619390000
Space Invader PA_0018;PA_0018; PA; 16 rue Saint-Vincent, Paris;16 Rue Saint-Vincent, 75018 Paris;48.88854;2.34131
Space Invader PA_0019;PA_0019; PA; pont de la Grange aux Belles, Paris;Paris, Paris;48.873272; 2.364214
Space Invader PA_0020;PA_0020; PA; 20 rue Saint-Fiacre; 20 rue Saint-Fiacre;48.8707180000; 2.3459080000
Space Invader PA_0021;PA_0021; PA; 12 rue Saint-Fiacre; 12 rue Saint-Fiacre;48.8701370000; 2.3455640000
Space Invader PA_0022;PA_0022; PA; 68 rue de Turenne, Paris;68 Rue de Turenne, 75003 Paris;48.85974;2.36466
Space Invader PA_0023;PA_0023; PA; 5 impasse Beaubourg; 5 impasse Beaubourg;48.8622000000; 2.3534300000
Space Invader PA_0024;PA_0024; PA; 73 avenue des Gobelins, Paris;73 Avenue des Gobelins, 75013 Paris;48.83339;2.35453
Space Invader PA_0025;PA_0025; PA; 2 rue de la Corderie; 2 rue de la Corderie;48.8646340000; 2.3634560000
Space Invader PA_0027;PA_0027; PA; fontaine des Haudriettes; fontaine des Haudriettes;48.8612070000; 2.3579490000
Space Invader PA_0028;PA_0028; PA; face au 5 rue Keller, Paris;5 Rue Keller, 75011 Paris;48.85382;2.37649
Space Invader PA_0029;PA_0029; PA; 21 rue Pastourelle; 21 rue Pastourelle;48.8625970000; 2.3598940000
Space Invader PA_0030;PA_0030; PA; 44 rue Quincampoix, Paris;44 Rue Quincampoix, 75004 Paris;48.86094;2.35052
Space Invader PA_0031;PA_0031; PA; 30 rue de Venise; 30 rue de Venise;48.8612500; 2.3506800
Space Invader PA_0032;PA_0032; PA; 108 rue Vieille du Temple, Paris;108 Rue Vieille-du-Temple, 75003 Paris;48.86095;2.36281
Space Invader PA_0034;PA_0034; PA; 61 rue Vieille du Temple, Paris;61 Rue Vieille-du-Temple, 75004 Paris;48.85862;2.35847
Space Invader PA_0036;PA_0036; PA; face au 7 boulevard Vincent Auriol, Paris;7 Boulevard Vincent Auriol, 75013 Paris;48.83694;2.37335
Space Invader PA_0037;PA_0037; PA; 8 rue du Pasteur Wagner; 8 rue du Pasteur Wagner;48.8555700000; 2.3697630000
Space Invader PA_0038;PA_0038; PA; 1 passage Thérié; 1 passage Thérié;48.8532030000; 2.3749370000
Space Invader PA_0039;PA_0039; PA; croisement rue lanneau rue d'ecosse, 75005; croisement rue lanneau rue d'ecosse, 75005; 48.8483563; 2.3466237
Space Invader PA_0040;PA_0040; PA; 45 rue de la montagne Sainte Genevieve, 75005; 5 rue de la montagne Sainte Genevieve, 75005 ; 48.84709;2.34814
Space Invader PA_0041;PA_0041; PA; Porte de la Villette, Paris;Métro-Porte de la Villette, Paris;48.89905167;2.387109995
Space Invader PA_0043;PA_0043; PA; 26 rue de l'Hirondelle; 26 rue de l'Hirondelle;48.8537000000; 2.3426800000
Space Invader PA_0044;PA_0044; PA; 2 rue de l'Ancienne Comédie, Paris;2 Rue de l'Ancienne Comédie, 75006 Paris;48.8535899;2.33829
Space Invader PA_0046;PA_0046; PA; statue de Danton; statue de Danton;48.8522670000; 2.3391780000
Space Invader PA_0047;PA_0047; PA; 4bis passage de la Main d'Or; 4bis passage de la Main d'Or;48.8516000000; 2.3779600000
Space Invader PA_0048;PA_0048; PA; 10 rue Amelot; 10 rue Amelot;48.8558600000; 2.3693000000
Space Invader PA_0049;PA_0049; PA; 117 rue Oberkampf, Paris;117 Rue Oberkampf, 75011 Paris;48.86601;2.3785599
Space Invader PA_0051;PA_0051; PA; 13 rue de Charonne; 13 rue de Charonne;48.8528400000; 2.3744000000
Space Invader PA_0053;PA_0053; PA; face au 16 boulevard Vincent Auriol, Paris;16 Boulevard Vincent Auriol, 75013 Paris;48.83697;2.3722
Space Invader PA_0055;PA_0055; PA; 43 rue du Moulin des Prés, Paris;43 Rue du Moulin des Prés, 75013 Paris;48.82765;2.3529399
Space Invader PA_0056;PA_0056; PA; 10 rue Simonet, Paris;10 Rue Simonet, 75013 Paris;48.82873;2.35155
Space Invader PA_0058;PA_0058; PA; 14 rue Louise Weiss, Paris;14 Rue Louise Weiss, 75013 Paris;48.83334;2.37073
Space Invader PA_0059;PA_0059; PA; 1 rue Lacordaire, Paris;1 Rue Lacordaire, 75015 Paris;48.84427;2.2846099
Space Invader PA_0060;PA_0060; PA; église Saint-Eustache, Paris;Impasse Saint-Eustache, 75001 Paris;48.86376;2.34547
Space Invader PA_0061;PA_0061; PA; 2 rue des Petits Carreaux, Paris;2 Rue des Petits-Carreaux, 75002 Paris;48.86639;2.34726
Space Invader PA_0062;PA_0062; PA; 99 rue de Réaumur, Paris;99 Rue Réaumur, 75002 Paris;48.86764;2.3455499
Space Invader PA_0063;PA_0063; PA; 74 rue de Charonne; 74 rue de Charonne;48.8534210000; 2.3798630000
Space Invader PA_0064;PA_0064; PA; devant le Musée d'Art Moderne; devant le Musée d'Art Moderne;48.8647660000; 2.2973970000
Space Invader PA_0065;PA_0065; PA; 30 rue de Lappe; 30 rue de Lappe;48.8530920000; 2.3739140000
Space Invader PA_0066;PA_0066; PA; 63 rue des Trois Fréres, Paris;63 Rue des Trois Fréres, 75018 Paris;48.8855999;2.33815
Space Invader PA_0067;PA_0067; PA; 63 rue des Trois Fréres, Paris;63 Rue des Trois Fréres, 75018 Paris;48.8855999;2.33815
Space Invader PA_0068;PA_0068; PA; 63 rue des Trois Fréres, Paris;63 Rue des Trois Fréres, 75018 Paris;48.8855999;2.33815
Space Invader PA_0069;PA_0069; PA; 40 rue du Banquier, Paris;40 Rue du Banquier, 75013 Paris;48.8347;2.35424
Space Invader PA_0070;PA_0070; PA; 1 rue de la Verrerie; 1 rue de la Verrerie;48.8568290000; 2.3554650000
Space Invader PA_0071;PA_0071; PA; 5 rue de Fourcy; 5 rue de Fourcy;48.8548020000; 2.3590200000
Space Invader PA_0072;PA_0072; PA; rue Charles Luizet, Paris;Rue Charles Luizet, 75011 Paris;48.86166;2.36732
Space Invader PA_0073;PA_0073; PA; 93 rue Jean-Pierre Timbaud, Paris;93 Rue Jean-Pierre Timbaud, 75011 Paris;48.86834;2.37926
Space Invader PA_0075;PA_0075; PA; sur le piédestal du lion; sur le piédestal du lion;48.8342950000; 2.3324660000
Space Invader PA_0076;PA_0076; PA; statue de Jeanne &quot; statue de Jeanne &quot;48.8383300000; 2.3570130000
Space Invader PA_0077;PA_0077; PA; 10 rue de Fleurus, Paris;10 Rue de Fleurus, 75006 Paris;48.84713;2.33128
Space Invader PA_0078;PA_0078; PA; 21 passage du Moulin des Prés, Paris;Passage du Moulin des Prés, 75013 Paris;48.82904;2.3532
Space Invader PA_0079;PA_0079; PA; 5 rue Chéreau, Paris;5 Rue Chéreau, 75013 Paris;48.82785;2.35146
Space Invader PA_0080;PA_0080; PA; 5 rue Ballu, Paris;5 Rue Ballu, 75009 Paris;48.88159;2.33103
Space Invader PA_0081;PA_0081; PA; 88 rue Saint-Maur, Paris;88 Rue Saint-Maur, 75011 Paris;48.86493;2.37793
Space Invader PA_0082;PA_0082; PA; pasage de la Voûte; pasage de la Voûte;48.8468920000; 2.4085960000
Space Invader PA_0083;PA_0083; PA; fontaine Boucherat, Paris;Paris, Paris;48.85720825;2.341439962
Space Invader PA_0084;PA_0084; PA; 15 rue du Pas de la Mule, Paris;15 Rue du Pas-de-la-Mule, 75004 Paris;48.85597;2.36678
Space Invader PA_0085;PA_0085; PA; 58 rue de Charonne; 58 rue de Charonne;48.8531940000; 2.3781920000
Space Invader PA_0087;PA_0087; PA; escalier du port de la Gare; escalier du port de la Gare;48.8373940000; 2.3741620000
Space Invader PA_0090;PA_0090; PA; métro Etienne Marcel; métro Etienne Marcel;48.8637200000; 2.3489900000
Space Invader PA_0092;PA_0092; PA; 8 rue de la Ferronnerie, Paris;8 Rue de la Ferronnerie, 75001 Paris;48.86034;2.34734
Space Invader PA_0093;PA_0093; PA; pont du Carroussel, Paris;Pont du Carrousel, Paris;48.86000061;2.333333015
Space Invader PA_0094;PA_0094; PA; porte Fleurus du jardin du Luxembourg; porte Fleurus du jardin du Luxembourg;48.8470400000; 2.3326300000
Space Invader PA_0095;PA_0095; PA; 65 rue Richelieu, Paris;65 Rue de Richelieu, 75002 Paris;48.8672899;2.33759
Space Invader PA_0097;PA_0097; PA; 205 rue de Charenton; 205 rue de Charenton;48.8394400000; 2.3890050000
Space Invader PA_0098;PA_0098; PA;  PA_0099, sur la fontaine Saint-Michel;  PA_0099, sur la fontaine Saint-Michel;48.8531920000; 2.3437020000
Space Invader PA_0098;PA_0099; PA;  PA_0099, sur la fontaine Saint-Michel;  PA_0099, sur la fontaine Saint-Michel;48.8531920000; 2.3437020000
Space Invader PA_0102;PA_0102; PA; 42 boulevard de l'Hépital, Paris;42 Boulevard de l'Hépital, 75005 Paris;48.84008;2.36155
Space Invader PA_0103;PA_0103; PA; 30 rue du Temple, dans la cour; 30 rue du Temple, dans la cour;48.8592530000; 2.3540450000
Space Invader PA_0105;PA_0105; PA; à droite du lion de la statue; à droite du lion de la statue;48.8674400000; 2.3638000000
Space Invader PA_0106;PA_0106; PA; 2 rue Charlemagne, Paris;2 Rue Charlemagne, 75004 Paris;48.85392;2.36188
Space Invader PA_0109;PA_0109; PA; tuyau d'évacuation du Centre Pompidou, Paris;Musée National d'Art Moderne, Paris;48.86130905;2.352334976
Space Invader PA_0110;PA_0110; PA; 91 rue Quincampoix, Paris;91 Rue Quincampoix, 75003 Paris;48.86257;2.35122
Space Invader PA_0111;PA_0111; PA; école primaire Hermel; école primaire Hermel;48.8915980000; 2.3446640000
Space Invader PA_0112;PA_0112; PA; 19 rue Gassendi, Paris;19 Rue Gassendi, 75014 Paris;48.83505;2.32702
Space Invader PA_0113;PA_0113; PA; 46 rue du Cardinal Lemoine, Paris;46 Rue du Cardinal Lemoine, 75005 Paris;48.84662;2.35141
Space Invader PA_0114;PA_0114; PA; 26 rue Vieille du Temple, Paris;26 Rue Vieille-du-Temple, 75004 Paris;48.85714;2.35734
Space Invader PA_0115;PA_0115; PA; impasse des Arbalétriers, Paris;Paris, Paris;48.85720825;2.341439962
Space Invader PA_0116;PA_0116; PA; 45 passage Thiéré; 45 passage Thiéré;48.8547190000; 2.3727640000
