code,invaders.geo,lat,lon
PA_0392,35 Quai des Grands-Augustins. 75006 Paris,48.8546,2.34234
PA_0394,Pont Saint-Michel. Paris,48.85416794,2.344722033
PA_0395,Rue Chomel. 75007 Paris,48.85215,2.32571
PA_0396, 49 rue de Beaubourg,48.8626680000, 2.3544100000
PA_0398,Paris. Paris,48.847425, 2.365762
PA_0399, pont de l'Alma,48.8625860000, 2.3021840000
PA_0400, 93 quai d'Orsay,48.8621660000, 2.3022840000
PA_0401,Paris. Paris,48.843974, 2.355034
PA_0402, quai Anantole France,48.8624400000, 2.3201500000
PA_0403,Parc Georges Brassens. Paris,48.83274078,2.300570011
PA_0404,2 Place de la Bourse. 75002 Paris,48.86958,2.34211
PA_0405,110 Rue Castagnary. 75015 Paris,48.83019,2.30559
PA_0406, 4 rue de Braque,48.8607470000, 2.3571330000
PA_0407,93 Rue Vieille-du-Temple. 75003 Paris,48.86011,2.36091
PA_0410,Rue de la Mare. 75020 Paris,48.87104,2.38982
PA_0411,68 Rue Orfila. 75020 Paris,48.867,2.39798
PA_0412, 15 rue Robineau,48.8647990000, 2.3935520000
PA_0413,3 Boulevard Malesherbes. 75008 Paris,48.86996,2.32306
PA_0414, 2 rue du 11 Novembre 1918. Pantin,48.892235, 2.410148
PA_0415,34 Rue Titon. 75011 Paris,48.85286,2.38636
PA_0416, 9 rue de Marseille,48.8715370000, 2.3632210000
PA_0418,139 Avenue Michelet. 93400 Saint-Ouen,48.90184,2.34418
PA_0420,45 rue Anselme. Saint Ouen,48.909302, 2.335866
PA_0421,71 Rue des Rondeaux. 75020 Paris,48.86405,2.39658
PA_0422, 32 rue Dunois,48.8312400000, 2.3691800000
PA_0423,63 Avenue Franklin Delano Roosevelt. 75008 Paris,48.87187,2.30987
PA_0424,Rue de la Manutention. 75116 Paris,48.86407,2.296
PA_0426,Paris. Paris,48.815865, 2.356636
PA_0427, 10 rue de Tolbiac,48.8299120000, 2.3753630000
PA_0428, 7 avenue de la Grande Armée,48.8745040000, 2.2923560000
PA_0429,22 Avenue Carnot. 75017 Paris,48.87644,2.29303
PA_0430,Paris. Paris,48.872322, 2.365239
PA_0431, rond-point de la porte de Vincennes,48.8472690000, 2.4142880000
PA_0432, rue de l'est. Paris 20, 48.871086, 2.393168
PA_0433,33 Rue Sibuet. 75012 Paris,48.84335,2.40227
PA_0434,19 Rue Lamblardie. 75012 Paris,48.8408,2.39814
PA_0436, 123 Rue Saint-Martin (Centre culturel Serbie). 75004 Paris,48.860911,2.351066
PA_0437, place du Colonel Fabien,48.8776510000, 2.3705950000
PA_0438,Rue Manin. 75019 Paris,48.88333,2.38841
PA_0439,134 Boulevard de Clichy. 75018 Paris,48.88412,2.32831
PA_0441,7 rue Gabriel Péri. Kremlin Bicetre,48.815355, 2.356006
PA_0442, 55 rue Olivier Metra. Paris 20e, 48.874509, 2.392939
