code;dtmaj
PA_1319;09/02/19
PA_1320;09/02/19
PA_0770;09/02/19
PA_1012;09/02/19
PA_0159;09/02/19
PA_1327;09/02/19
PA_0226;09/02/19
PA_1326;09/02/19
PA_1340;09/02/19
PA_0730;09/02/19
PA_1329;09/02/19
PA_0931;09/02/19
PA_1007;09/02/19
PA_1124;09/02/19
PA_1230;09/02/19
PA_0631;09/02/19
PA_0185;09/02/19
PA_0552;09/02/19
PA_1278;09/02/19
PA_1125;09/02/19
PA_1181;09/02/19
PA_0659;09/02/19
PA_0562;09/02/19
PA_1313;09/02/19
PA_1022;09/02/19
PA_1292;09/02/19
PA_0018;09/02/19
PA_0165;09/02/19
PA_0286;09/02/19
PA_0644;09/02/19
PA_0169;09/02/19
PA_0856;09/02/19
PA_0857;09/02/19
PA_0160;09/02/19
PA_0642;09/02/19
PA_0641;09/02/19
PA_0068;09/02/19
PA_0067;09/02/19
PA_0066;09/02/19
PA_0643;09/02/19
PA_1053;09/02/19
PA_0161;09/02/19
PA_0607;09/02/19
PA_0553;09/02/19
PA_1275;09/02/19
PA_0728;09/02/19
PA_0075;09/02/19
PA_1279;15/02/19
PA_0366;15/02/19
PA_0405;15/02/19
PA_0646;15/02/19
PA_1100;16/02/19
PA_0168;16/02/19
PA_0357;16/02/19
PA_0247;16/02/19
PA_1274;16/02/19
PA_0593;16/02/19
PA_0594;16/02/19
PA_0233;16/02/19
PA_1309;16/02/19
PA_0650;16/02/19
PA_0488;17/02/19
PA_1132;17/02/19
PA_0391;17/02/19
PA_0427;17/02/19
PA_1134;17/02/19
PA_0272;17/02/19
PA_1108;17/02/19
PA_0363;17/02/19
PA_0942;17/02/19
PA_0875;17/02/19
PA_0216;17/02/19
PA_0971;17/02/19
PA_0347;18/02/19
PA_0377;23/02/19
PA_1201;23/02/19
PA_1047;23/02/19
PA_1005;23/02/19
PA_0081;23/02/19
PA_0532;23/02/19
PA_0373;23/02/19
PA_0384;23/02/19
PA_0073;23/02/19
PA_1028;23/02/19
PA_1211;23/02/19
PA_0852;23/02/19
PA_0465;23/02/19
PA_0718;23/02/19
PA_0028;23/02/19
PA_0654;23/02/19
PA_1366;23/02/19
PA_0372;23/02/19
PA_0175;23/02/19
PA_0016;23/02/19
PA_0014;23/02/19
PA_0957;23/02/19
PA_1383;23/02/19
PA_1296;23/02/19
LY_0043;08/03/19
LY_0024;08/03/19
LY_0022;08/03/19
LY_0023;08/03/19
LY_0003;08/03/19
LY_0006;08/03/19
LY_0007;08/03/19
LY_0044;08/03/19
PA_0040;24/02/19
PA_1104;24/02/19
PA_1330;24/02/19
PA_1180;24/02/19
PA_0069;24/02/19
PA_0146;24/02/19
PA_0024;24/02/19
PA_1353;24/02/19
PA_1331;24/02/19
PA_1352;24/02/19
PA_1316;24/02/19
PA_0350;24/02/19
PA_1178;24/02/19
PA_0225;24/02/19
PA_0620;16/03/19
PA_0577;16/03/19
PA_0442;16/03/19
PA_0492;16/03/19
PA_0737;16/03/19
PA_0573;16/03/19
PA_0432;16/03/19
PA_0375;16/03/19
PA_0531;16/03/19
PA_0351;16/03/19
PA_0411;16/03/19
PA_1083;16/03/19
PA_1045;16/03/19
PA_0983;16/03/19
PA_1250;16/03/19
PA_1285;16/03/19
PA_1351;17/03/19
PA_1386;17/03/19
PA_0364;17/03/19
PA_0059;17/03/19
PA_0666;17/03/19
PA_0950;17/03/19
PA_0346;17/03/19
PA_0674;17/03/19
PA_0935;17/03/19
PA_0428;18/03/19
PA_0996;18/03/19
PA_0663;18/03/19
PA_1367;18/03/19
PA_1168;18/03/19
PA_0994;18/03/19
