lat;long;text;invader;code;artist;address;address2;yena2
48.8731270100; 2.3636376857; Space Invader PA_0454, Assainissement de Valmy; Space Invader PA_0454;PA_0454; PA;, Assainissement de Valmy; Assainissement de Valmy;
48.8817770000; 2.3688090000; Space Invader PA_0872, Le Point (pas si) Ephémère; Space Invader PA_0872;PA_0872; PA;, Le Point (pas si) Ephémère; Le Point (pas si) Ephémère;
48.8817770000; 2.3687000000; Space Invader PA_1148, Le Point (pas si) Ephémère; Space Invader PA_1148;PA_1148; PA;, Le Point (pas si) Ephémère; Le Point (pas si) Ephémère;
48.8776748220; 2.3582142591; Space Invader PA_0352, 21 rue d'Alsace; Space Invader PA_0352;PA_0352; PA;, 21 rue d'Alsace; 21 rue d'Alsace;
48.8579500000; 2.3528800000; Space Invader PA_0580, 59 rue de la Verrerie; Space Invader PA_0580;PA_0580; PA;, 59 rue de la Verrerie; 59 rue de la Verrerie;
48.8816280000; 2.3308890000; Space Invader PA_0080, 5 rue Ballu; Space Invader PA_0080;PA_0080; PA;, 5 rue Ballu; 5 rue Ballu;
48.8589230000; 2.3523510000; Space Invader PA_0612, 14 rue du Renard; Space Invader PA_0612;PA_0612; PA;, 14 rue du Renard; 14 rue du Renard;
48.8653729010; 2.3308101296; Space Invader PA_0177, 12 rue du 29 Juillet; Space Invader PA_0177;PA_0177; PA;, 12 rue du 29 Juillet; 12 rue du 29 Juillet;
48.8538091970; 2.3818498849; Space Invader PA_0702, 98 rue de Charonne; Space Invader PA_0702;PA_0702; PA;, 98 rue de Charonne; 98 rue de Charonne;
48.8560205010; 2.3863667249; Space Invader PA_0390, 1 passage Gustave Lepeu; Space Invader PA_0390;PA_0390; PA;, 1 passage Gustave Lepeu; 1 passage Gustave Lepeu;
48.8615960000; 2.3630040000; Space Invader PA_0575, 22 rue de Poitou; Space Invader PA_0575;PA_0575; PA;, 22 rue de Poitou; 22 rue de Poitou;
48.8645524310; 2.3645550012; Space Invader PA_0083, fontaine Boucherat; Space Invader PA_0083;PA_0083; PA;, fontaine Boucherat; fontaine Boucherat;
48.8557469610; 2.3785454034; Space Invader PA_0718, 39 rue Basfroi; Space Invader PA_0718;PA_0718; PA;, 39 rue Basfroi; 39 rue Basfroi;
48.8388690000; 2.3960120000; Space Invader PA_0740, 99 rue Claude Decaen; Space Invader PA_0740;PA_0740; PA;, 99 rue Claude Decaen; 99 rue Claude Decaen;
48.8617380000; 2.3508080000; Space Invader PA_0997, 61 rue Quincampoix; Space Invader PA_0997;PA_0997; PA;, 61 rue Quincampoix; 61 rue Quincampoix;
48.8652370390; 2.3753710090; Space Invader PA_1005, 89 rue Oberkampf; Space Invader PA_1005;PA_1005; PA;, 89 rue Oberkampf; 89 rue Oberkampf;
48.8658889970; 2.3781497776; Space Invader PA_0532, 113 rue Oberkampf; Space Invader PA_0532;PA_0532; PA;, 113 rue Oberkampf; 113 rue Oberkampf;
48.8889931600; 2.3961474000; Space Invader PA_0621, porte de Pantin; Space Invader PA_0621;PA_0621; PA;, porte de Pantin; porte de Pantin;
48.8744130700; 2.3861789703; Space Invader PA_0589, 1 rue Melingue; Space Invader PA_0589;PA_0589; PA;, 1 rue Melingue; 1 rue Melingue;
48.8741114050; 2.3855942487; Space Invader PA_0489, 1 rue Clavel; Space Invader PA_0489;PA_0489; PA;, 1 rue Clavel; 1 rue Clavel;
48.8694944600; 2.3689699172; Space Invader PA_0743, 45 rue du Faubourg du Temple; Space Invader PA_0743;PA_0743; PA;, 45 rue du Faubourg du Temple; 45 rue du Faubourg du Temple;
48.8856100000; 2.3165890000; Space Invader PA_0726, 135 rue de Rome; Space Invader PA_0726;PA_0726; PA;, 135 rue de Rome; 135 rue de Rome;
48.8659198740; 2.3469798266; Space Invader PA_0468, 65 rue Montorgueil; Space Invader PA_0468;PA_0468; PA;, 65 rue Montorgueil; 65 rue Montorgueil;
48.8834330000; 2.3140960000; Space Invader PA_0660, 46 rue de Lévis; Space Invader PA_0660;PA_0660; PA;, 46 rue de Lévis; 46 rue de Lévis;
48.8732619600; 2.3589451610; Space Invader PA_0549, 54 rue des Vinaigriers; Space Invader PA_0549;PA_0549; PA;, 54 rue des Vinaigriers; 54 rue des Vinaigriers;
48.8834870000; 2.3418990000; Space Invader PA_0607, 48 rue d'Orsel; Space Invader PA_0607;PA_0607; PA;, 48 rue d'Orsel; 48 rue d'Orsel;
48.8843872940; 2.3424495756; Space Invader PA_0605, 1 place Suzanne Valadon; Space Invader PA_0605;PA_0605; PA;, 1 place Suzanne Valadon; 1 place Suzanne Valadon;
48.8862130000; 2.3440910000; Space Invader PA_0644, 2 rue Lamarck; Space Invader PA_0644;PA_0644; PA;, 2 rue Lamarck; 2 rue Lamarck;
48.8767487110; 2.3511734604; Space Invader PA_0226, 83 rue d'Hauteville; Space Invader PA_0226;PA_0226; PA;, 83 rue d'Hauteville; 83 rue d'Hauteville;
48.8842240000; 2.3597160000; Space Invader PA_0609, 35 boulevard de la Chapelle; Space Invader PA_0609;PA_0609; PA;, 35 boulevard de la Chapelle; 35 boulevard de la Chapelle;
48.8840370000; 2.3562540000; Space Invader PA_0348, 39bis boulevard de la Chapelle; Space Invader PA_0348;PA_0348; PA;, 39bis boulevard de la Chapelle; 39bis boulevard de la Chapelle;
48.8519050000; 2.3490570000; Space Invader PA_0556, 2 rue de l'Hôtel Colbert; Space Invader PA_0556;PA_0556; PA;, 2 rue de l'Hôtel Colbert; 2 rue de l'Hôtel Colbert;
48.8503588030; 2.3830729722; Space Invader PA_0811, Est de la fontaine de Montreuil; Space Invader PA_0811;PA_0811; PA;, Est de la fontaine de Montreuil; Est de la fontaine de Montreuil;
48.8731587650; 2.3430611193; Space Invader PA_0734, 20 rue du Faubourg Montmartre; Space Invader PA_0734;PA_0734; PA;, 20 rue du Faubourg Montmartre; 20 rue du Faubourg Montmartre;
48.8603854660; 2.3754206299; Space Invader PA_0754, 59bis rue Popincourt; Space Invader PA_0754;PA_0754; PA;, 59bis rue Popincourt; 59bis rue Popincourt;
48.8665709400; 2.3356997966; Space Invader PA_0582, 14 rue Villedo; Space Invader PA_0582;PA_0582; PA;, 14 rue Villedo; 14 rue Villedo;
48.8637230000; 2.3494010000; Space Invader PA_0590, 17 rue Étienne Marcel; Space Invader PA_0590;PA_0590; PA;, 17 rue Étienne Marcel; 17 rue Étienne Marcel;
48.8255320000; 2.3747850000; Space Invader PA_0705, 32 rue de Patay; Space Invader PA_0705;PA_0705; PA;, 32 rue de Patay; 32 rue de Patay;
48.8729530000; 2.3907780000; Space Invader PA_0742, 322 rue des Pyrénées; Space Invader PA_0742;PA_0742; PA;, 322 rue des Pyrénées; 322 rue des Pyrénées;
48.8485337920; 2.3939144611; Space Invader PA_0515, 278 rue du Faubourg Saint-Antoine; Space Invader PA_0515;PA_0515; PA;, 278 rue du Faubourg Saint-Antoine; 278 rue du Faubourg Saint-Antoine;
48.8728465070; 2.3313707110; Space Invader PA_0631, entrée Nord de l'Opéra; Space Invader PA_0631;PA_0631; PA;, entrée Nord de l'Opéra; entrée Nord de l'Opéra;
48.8479750000; 2.3516840000; Space Invader PA_0636, 32 rue de Poissy; Space Invader PA_0636;PA_0636; PA;, 32 rue de Poissy; 32 rue de Poissy;
48.8526337950; 2.3632380366; Space Invader PA_0588, 5 rue Charles V; Space Invader PA_0588;PA_0588; PA;, 5 rue Charles V; 5 rue Charles V;
48.8626291230; 2.3497076332; Space Invader PA_0355, 4 rue de la Grande Truanderie; Space Invader PA_0355;PA_0355; PA;, 4 rue de la Grande Truanderie; 4 rue de la Grande Truanderie;
48.8506320000; 2.3475600000; Space Invader PA_0528, 13 rue des Anglais; Space Invader PA_0528;PA_0528; PA;, 13 rue des Anglais; 13 rue des Anglais;
48.8449740000; 2.3324820000; Space Invader PA_0481, sous la plaque de rue du coin du parc; Space Invader PA_0481;PA_0481; PA;, sous la plaque de rue du coin du parc; sous la plaque de rue du coin du parc;
48.8413275280; 2.3251493275; Space Invader PA_0494, 41 rue Delambre; Space Invader PA_0494;PA_0494; PA;, 41 rue Delambre; 41 rue Delambre;
48.8514707200; 2.3380064964; Space Invader PA_0473, 3 rue Saint-Sulpice; Space Invader PA_0473;PA_0473; PA;, 3 rue Saint-Sulpice; 3 rue Saint-Sulpice;
48.8551548740; 2.3377208411; Space Invader PA_0455, 48 rue Mazarine; Space Invader PA_0455;PA_0455; PA;, 48 rue Mazarine; 48 rue Mazarine;
48.8433222620; 2.4022775880; Space Invader PA_0433, 33 rue de Sibuet; Space Invader PA_0433;PA_0433; PA;, 33 rue de Sibuet; 33 rue de Sibuet;
48.8814820000; 2.3399370000; Space Invader PA_0553, 74 rue des Martyrs; Space Invader PA_0553;PA_0553; PA;, 74 rue des Martyrs; 74 rue des Martyrs;
48.8877207050; 2.3325763642; Space Invader PA_0207, 7 rue Damrémont; Space Invader PA_0207;PA_0207; PA;, 7 rue Damrémont; 7 rue Damrémont;
48.8392490000; 2.3002810000; Space Invader PA_0365, 268 rue de Vaugirard; Space Invader PA_0365;PA_0365; PA;, 268 rue de Vaugirard; 268 rue de Vaugirard;
48.8637875280; 2.3448219895; Space Invader PA_0295, 4 rue du Jour; Space Invader PA_0295;PA_0295; PA;, 4 rue du Jour; 4 rue du Jour;
48.8643601030; 2.3642170429; Space Invader PA_0746, 79 rue Charlot; Space Invader PA_0746;PA_0746; PA;, 79 rue Charlot; 79 rue Charlot;
48.8611645370; 2.3631709814; Space Invader PA_0696, 9 rue Debellyeme; Space Invader PA_0696;PA_0696; PA;, 9 rue Debellyeme; 9 rue Debellyeme;
48.8439992000; 2.3549473280; Space Invader PA_0401, fontaine de Cuvier; Space Invader PA_0401;PA_0401; PA;, fontaine de Cuvier; fontaine de Cuvier;
48.8404254580; 2.3497492074; Space Invader PA_0679, 1 rue de l'Arbalète; Space Invader PA_0679;PA_0679; PA;, 1 rue de l'Arbalète; 1 rue de l'Arbalète;
48.8215718400; 2.3424670100; Space Invader PA_0216, 67 rue de l'Amiral Mouchez; Space Invader PA_0216;PA_0216; PA;, 67 rue de l'Amiral Mouchez; 67 rue de l'Amiral Mouchez;
48.8805641790; 2.2929400205; Space Invader PA_0618, 15 rue Pierre Demours; Space Invader PA_0618;PA_0618; PA;, 15 rue Pierre Demours; 15 rue Pierre Demours;
48.8762768290; 2.2924786806; Space Invader PA_0429, 22 avenue Carnot; Space Invader PA_0429;PA_0429; PA;, 22 avenue Carnot; 22 avenue Carnot;
48.8655599320; 2.2855666279; Space Invader PA_0665, 127 rue de Lauriston; Space Invader PA_0665;PA_0665; PA;, 127 rue de Lauriston; 127 rue de Lauriston;
48.8650323600; 2.2828240692; Space Invader PA_0652, 25 rue des Sablons; Space Invader PA_0652;PA_0652; PA;, 25 rue des Sablons; 25 rue des Sablons;
48.8646000710; 2.2944125533; Space Invader PA_0456, 1 place d'Iéna; Space Invader PA_0456;PA_0456; PA;, 1 place d'Iéna; 1 place d'Iéna;
48.8621320000; 2.3562460000; Space Invader PA_0722, 11 rue Michel Lecomte; Space Invader PA_0722;PA_0722; PA;, 11 rue Michel Lecomte; 11 rue Michel Lecomte;
48.8471446920; 2.3481680452; Space Invader PA_0040, 45 rue de la Montagne Sainte-Geneviève; Space Invader PA_0040;PA_0040; PA;, 45 rue de la Montagne Sainte-Geneviève; 45 rue de la Montagne Sainte-Geneviève;
48.8447617750; 2.3465278744; Space Invader PA_0765, 17 rue de l'Estrapade; Space Invader PA_0765;PA_0765; PA;, 17 rue de l'Estrapade; 17 rue de l'Estrapade;
48.8676952900; 2.3454563319; Space Invader PA_0062, 99 rue de Réaumur; Space Invader PA_0062;PA_0062; PA;, 99 rue de Réaumur; 99 rue de Réaumur;
48.8676952900; 2.3454563319; Space Invader PA_1078, 99 rue de Réaumur; Space Invader PA_1078;PA_1078; PA;, 99 rue de Réaumur; 99 rue de Réaumur;
48.8718100400; 2.3060882091; Space Invader PA_0476, 1 rue Paul Baudry; Space Invader PA_0476;PA_0476; PA;, 1 rue Paul Baudry; 1 rue Paul Baudry;
48.8702610000; 2.3732370000; Space Invader PA_0446, 174 rue Saint-Maur; Space Invader PA_0446;PA_0446; PA;, 174 rue Saint-Maur; 174 rue Saint-Maur;
48.8894706570; 2.3368343710; Space Invader PA_0647, 66 rue Caulaincourt; Space Invader PA_0647;PA_0647; PA;, 66 rue Caulaincourt; 66 rue Caulaincourt;
48.8758649200; 2.3472145200; Space Invader PA_0730, 6 rue Bleue; Space Invader PA_0730;PA_0730; PA;, 6 rue Bleue; 6 rue Bleue;
48.8904390000; 2.3532390000; Space Invader PA_0336, centre d'Hygiène Sociale; Space Invader PA_0336;PA_0336; PA;, centre d'Hygiène Sociale; centre d'Hygiène Sociale;
48.8320800000; 2.3028900000; Space Invader PA_0403, porte N-E du parc George Brassens; Space Invader PA_0403;PA_0403; PA;, porte N-E du parc George Brassens; porte N-E du parc George Brassens;
48.8279740000; 2.3049270000; Space Invader PA_0646, porte de Vanves; Space Invader PA_0646;PA_0646; PA;, porte de Vanves; porte de Vanves;
48.8371110000; 2.2966150000; Space Invader PA_0626, 200 rue de la Convention; Space Invader PA_0626;PA_0626; PA;, 200 rue de la Convention; 200 rue de la Convention;
48.8609740000; 2.4049650000; Space Invader PA_0192, face au 130 rue de Bagnolet; Space Invader PA_0192;PA_0192; PA;, face au 130 rue de Bagnolet; face au 130 rue de Bagnolet;
48.8609740000; 2.4049650000; Space Invader PA_0785, face au 130 rue de Bagnolet; Space Invader PA_0785;PA_0785; PA;, face au 130 rue de Bagnolet; face au 130 rue de Bagnolet;
48.8569530000; 2.3980390000; Space Invader PA_0717, 2 rue des Orteaux; Space Invader PA_0717;PA_0717; PA;, 2 rue des Orteaux; 2 rue des Orteaux;
